CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 20.09.2022

<Transmited Data>
<NEW BUTTON 13:56:24>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCANG[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:00:44>
[^C][CR]
[^C][CR]
DRON[CR]
SCANG[CR]

<PAUSE BUTTON 14:22:41>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:29:45>
[^C][CR]
SCANG[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 13:56:24>

>
Reset interface. Wait time for interface: 94
>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 109DOFF
OK
>
Command: DOFF Wait time for interface: 110

>
Reset interface. Wait time for interface: 109SCANG
Z,0,0,0,0
Z,0,0,0,0[CR],2422079437
Z,0,0,0,0[CR],2422079984
Z,0,0,0,0[CR],2422080421
Z,0,0,0,0[CR],2422080968
Z,0,0,0,0[CR],2422081515
Z,0,0,0,0[CR],2422081953
Z,0,0,0,0[CR],2422082500
Z,0,0,0,0[CR],2422083046
Z,0,0,0,0[CR],2422083484
Z,0,0,0,0[CR],2422084031
Z,0,0,0,0[CR],2422084578
Z,0,0,0,0[CR],2422085015
Z,0,0,0,0[CR],2422085562
Z,0,0,0,0[CR],2422086109
Z,0,0,0,0[CR],2422086546
Z,0,0,0,0[CR],2422087093
Z,0,0,0,0[CR],2422087640
Z,0,0,0,0[CR],2422088078
Z,0,0,0,0[CR],2422088625
Z,0,0,0,0[CR],2422089171
Z,0,0,0,0[CR],2422089609
Z,0,0,0,0[CR],2422090156
Z,0,0,0,0[CR],2422090593
Z,0,0,0,0[CR],2422091140
Z,0,0,0,0[CR],2422091687
Z,0,0,0,0[CR],2422092125
Z,0,0,0,0[CR],2422092671
Z,0,0,0,0[CR],2422093218
Z,0,0,0,0[CR],2422093656
Z,0,0,0,0[CR],2422094203
Z,0,0,0,0[CR],2422094750
Z,0,0,0,0[CR],2422095187
Z,0,0,0,0[CR],2422095734
Z,0,0,0,0[CR],2422096281
Z,0,0,0,0[CR],2422096718
Z,0,0,0,0[CR],2422097265
Z,0,0,0,0[CR],2422097812
Z,0,0,0,0[CR],2422098250
Z,0,0,0,0[CR],2422098796
Z,0,0,0,0[CR],2422099343
Z,0,0,0,0[CR],2422099781
Z,0,0,0,0[CR],2422100328
Z,0,0,0,0[CR],2422100875
Z,0,0,0,0[CR],2422101312
Z,0,0,0,0[CR],2422101859
Z,0,0,0,0[CR],2422102296
Z,0,0,0,0[CR],2422102843
Z,0,0,0,0[CR],2422103390
Z,0,0,0,0[CR],2422103828
Z,0,0,0,0[CR],2422104375
Z,0,0,0,0[CR],2422104921
Z,0,0,0,0[CR],2422105359
Z,0,0,0,0[CR],2422105906
Z,0,0,0,0[CR],2422106453
Z,0,0,0,0[CR],2422106890
Z,0,0,0,0[CR],2422107437
Z,0,0,0,0[CR],2422107984
Z,0,0,0,0[CR],2422108421
Z,0,0,0,0[CR],2422108968
Z,0,0,0,0[CR],2422109515
Z,0,0,0,0[CR],2422109953
Z,0,0,0,0[CR],2422110500
Z,0,0,0,0[CR],2422111046
Z,0,0,0,0[CR],2422111484
Z,0,0,0,0[CR],2422112031
Z,0,0,0,0[CR],2422112578
Z,0,0,0,0[CR],2422113015
Z,0,0,0,0[CR],2422113562
Z,0,0,0,0[CR],2422114000
Z,0,0,0,0[CR],2422114546
Z,0,0,0,0[CR],2422115093
Z,0,0,0,0[CR],2422115531
Z,0,0,0,0[CR],2422116078
Z,0,0,0,0[CR],2422116625
Z,0,0,0,0[CR],2422117062
Z,0,0,0,0[CR],2422117609
Z,0,0,0,0[CR],2422118156
Z,0,0,0,0[CR],2422118593
Z,0,0,0,0[CR],2422119140
Z,0,0,0,0[CR],2422119687
Z,0,0,0,0[CR],2422120125
Z,0,0,0,0[CR],2422120671
Z,0,0,0,0[CR],2422121218
Z,0,0,0,0[CR],2422121656
Z,0,0,0,0[CR],2422122203
Z,0,0,0,0[CR],2422122750
Z,0,0,0,0[CR],2422123187
Z,0,0,0,0[CR],2422123734
Z,0,0,0,0[CR],2422124281
Z,0,0,0,0[CR],2422124718
Z,0,0,0,0[CR],2422125265
