ID,UTM32-E,UTM32-N,NN2000-Z,DESCRIPTION
TILC44,570848.587,7024073.165,125.199,FB:0-4m. CPTu: 4-20m. Rate: 15mm/s
TILC50,570845.670,7024068.620,125.240,FB:0-4m. CPTu: 4-20m. Rate: 65mm/s
TILC51,570844.050,7024070.197,125.242,FB:0-4m. CPTu: 4-20m. Rate: 50mm/s
TILC52,570850.168,7024073.119,125.210,FB:0-4m. CPTu: 4-20m. Rate: 50mm/s
TILC53,570845.576,7024071.705,125.201,FB:0-4m. CPTu: 4-20m. Rate: 30mm/s
TILC54,570845.616,7024073.131,125.201,FB:0-4m. CPTu: 4-20m. Rate: 25mm/s
TILC55,570850.058,7024074.611,125.147,FB:0-4m. CPTu: 4-20m. Rate: 20mm/s
TILC57,570847.111,7024071.670,125.232,FB:0-4m. CPTu: 4-20m. Rate: 20mm/s
TILC58,570848.668,7024074.637,125.140,FB:0-4m. CPTu: 4-20m. Rate: 65mm/s
TILC59,570848.634,7024071.616,125.243,FB:0-4m. CPTu: 4-20m. Rate: 10mm/s
TILC65,570850.093,7024068.632,125.365,FB:0-4m. CPTu: 4-20m. Rate: 20mm/s
TILC66,570844.103,7024074.664,125.192,FB:0-4m. CPTu: 4-20m. Rate: 20mm/s
TILC69,570847.179,7024070.195,125.278,FB:0-4m. CPTu: 4-20m. Rate: 5mm/s
TILC72,570844.087,7024073.175,125.212,FB:0-4m. CPTu: 4-20m. Rate: 65mm/s
TILC74,570845.626,7024070.176,125.162,FB:0-4m. CPTu: 4-20m. Rate: 15mm/s
TILC75,570847.122,7024074.666,125.196,FB:0-4m. CPTu: 4-20m. Rate: 5mm/s
TILC77,570850.149,7024070.129,125.280,FB:0-4m. CPTu: 4-20m. Rate: 65mm/s
TILC78,570845.644,7024074.646,125.184,FB:0-4m. CPTu: 4-20m. Rate: 50mm/s
TILC79,570850.181,7024071.616,125.256,FB:0-4m. CPTu: 4-20m. Rate: 30mm/s
TILC81,570844.019,7024071.641,125.188,FB:0-4m. CPTu: 4-20m. Rate: 10mm/s
TILC85,570844.046,7024068.719,125.229,FB:0-4m. CPTu: 4-20m. Rate: 20mm/s
TILC87,570847.151,7024068.662,125.281,FB:0-4m. CPTu: 4-20m. Rate: 35mm/s
TILC88,570848.599,7024070.150,125.257,FB:0-4m. CPTu: 4-20m. Rate: 25mm/s
TILC89,570847.135,7024073.109,125.239,FB:0-4m. CPTu: 4-20m. Rate: 35mm/s
TILC90,570848.666,7024068.671,125.337,FB:0-4m. CPTu: 4-20m. Rate: 50mm/s
