ID,UTM32-E,UTM32-N,NN2000-Z,D
TILC39,570850.053,7024065.567,125.436,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Frostvæske. Metningsprosedyre: Dårlig (20-50%).
TILC45,570845.592,7024067.123,125.346,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Optimal (100%).
TILC46,570844.137,7024064.130,125.397,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Frostvæske. Metningsprosedyre: Dårlig (20-50%).
TILC47,570848.663,7024062.618,125.476,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Avluftet frostvæske. Metningsprosedyre: Optimal (100%).
TILC48,570844.014,7024061.189,125.486,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Større svikt (50-80%).
TILC49,570847.108,7024065.626,125.433,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Liten svikt (95%).
TILC56,570844.124,7024062.656,125.500,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Optimal (100%).
TILC60,570844.156,7024065.685,125.327,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Dårlig (20-50%).
TILC61,570845.642,7024065.659,125.410,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Avluftet frostvæske. Metningsprosedyre: Optimal (100%).
TILC62,570844.132,7024067.107,125.294,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Avluftet frostvæske. Metningsprosedyre: Optimal (100%).
TILC63,570845.618,7024064.166,125.420,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Glyserin. Metningsprosedyre: Liten svikt (95%).
TILC64,570847.080,7024061.121,125.555,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Større svikt (50-80%).
TILC67,570850.012,7024067.137,125.355,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Avluftet frostvæske (vannblandet). Metningsprosedyre: Liten svikt (95%).
TILC68,570845.662,7024062.732,125.548,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Liten svikt (95%).
TILC70,570848.539,7024061.176,125.530,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Optimal (100%).
TILC71,570848.582,7024064.068,125.469,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Større svikt (50-80%).
TILC73,570850.107,7024062.552,125.479,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Glyserin. Metningsprosedyre: Optimal (100%).
TILC76,570848.579,7024067.125,125.389,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Glyserin. Metningsprosedyre: Optimal (100%).
TILC80,570845.595,7024061.110,125.550,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Glyserin. Metningsprosedyre: Optimal (100%).
TILC82,570847.047,7024064.173,125.455,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Frostvæske. Metningsprosedyre: Dårlig (20-50%).
TILC83,570847.113,7024062.639,125.538,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Dårlig (20-50%).
TILC84,570847.086,7024067.168,125.362,Totalsondering
TILC86,570850.107,7024064.023,125.441,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Glyserin. Metningsprosedyre: Liten svikt (95%).
TILC91,570848.642,7024065.587,125.429,FB:0-4m. CPTu: 4-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Dårlig (20-50%).
TILC92,570850.021,7024061.074,125.558,FB:0-4m. CPTu: 4-20m. Porøst filter. Metningsmedium: Avluftet frostvæske (vannblandet). Metningsprosedyre: Liten svikt (95%).
