ID,UTM32-E,UTM32-N,NN2000-Z,DESCRIPTION
OYSC05,562491.447,7023026.888,2.712,FB: 0-8m. CPTu: 8-20m. Rate: 15mm/s
OYSC06,562490.056,7023026.958,2.697,FB: 0-8m. CPTu: 8-20m. Rate: 35mm/s
OYSC11,562492.883,7023025.568,2.723,FB: 0-8m. CPTu: 8-20m. Rate: 30mm/s
OYSC15,562488.509,7023025.411,2.674,FB: 0-8m. CPTu: 8-20m. Rate: 30mm/s
OYSC19,562489.940,7023025.558,2.701,FB: 0-8m. CPTu: 8-20m. Rate: 20mm/s
OYSC33,562492.926,7023022.551,2.650,FB: 0-8m. CPTu: 8-20m. Rate: 20mm/s
OYSC47,562486.919,7023024.210,2.582,FB: 0-8m. CPTu: 8-20m. Rate: 50mm/s
OYSC48,562488.676,7023028.483,2.696,FB: 0-8m. CPTu: 8-20m. Rate: 50mm/s
OYSC54,562491.586,7023028.540,2.717,FB: 0-8m. CPTu: 8-20m. Rate: 65mm/s
OYSC63,562487.069,7023027.098,2.719,FB: 0-8m. CPTu: 8-20m. Rate: 65mm/s
OYSC64_1,562492.933,7023028.436,2.702,FB: 0-8m. CPTu: 8-20m. Rate: 20mm/s
OYSC64_2,562492.933,7023028.436,2.702,FB: 0-8m. CPTu: 8-20m. Rate: 20mm/s
OYSC73,562488.435,7023024.018,2.606,FB: 0-8m. CPTu: 8-20m. Rate: 15mm/s
OYSC76,562491.413,7023023.968,2.701,FB: 0-8m. CPTu: 8-20m. Rate: 25mm/s
OYSC78,562489.876,7023022.585,2.681,FB: 0-8m. CPTu: 8-20m. Rate: 35mm/s
OYSC80,562492.849,7023027.000,2.654,FB: 0-8m. CPTu: 8-20m. Rate: 50mm/s
OYSC82,562488.389,7023022.608,2.638,FB: 0-8m. CPTu: 8-20m. Rate: 65mm/s
OYSC83,562490.156,7023028.462,2.697,FB: 0-8m. CPTu: 8-20m. Rate: 5mm/s
OYSC84,562488.563,7023026.944,2.678,FB: 0-8m. CPTu: 8-20m. Rate: 25mm/s
OYSC85,562489.877,7023023.987,2.677,FB: 0-8m. CPTu: 8-20m. Rate: 5mm/s
OYSC87,562491.404,7023025.469,2.721,FB: 0-8m. CPTu: 8-20m. Rate: 10mm/s
OYSC88,562486.990,7023025.516,2.606,FB: 0-8m. CPTu: 8-20m. Rate: 10mm/s
OYSC89,562492.905,7023024.010,2.643,FB: 0-8m. CPTu: 8-20m. Rate: 65mm/s
OYSC90,562487.134,7023028.497,2.704,FB: 0-8m. CPTu: 8-20m. Rate: 20mm/s
OYSC92,562486.889,7023022.586,2.623,FB: 0-8m. CPTu: 8-20m. Rate: 20mm/s
OYSC93,562491.417,7023022.528,2.656,FB: 0-8m. CPTu: 8-20m. Rate: 50mm/s
