CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 31.10.2022

<Transmited Data>
<NEW BUTTON 14:19:01>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCAN E[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:29:32>
[^C][CR]
[^C][CR]
DRON[CR]
SCAN E[CR]
[^G][^G][^G][^G]
<PAUSE BUTTON 14:47:59>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:54:49>
[^C][CR]
SCAN E[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 14:19:01>

>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110
>
Reset interface. Wait time for interface: 109CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 110DOFF
OK
>
Command: DOFF Wait time for interface: 109

>
Reset interface. Wait time for interface: 16SCAN E
Z,0,0,0,0,0,2750
Z,0,0,0,0,0,2469[CR],2189612515
Z,0,0,0,0,0,2469[CR],2189613062
Z,0,0,0,0,0,2470[CR],2189613500
Z,0,0,0,0,0,2469[CR],2189614046
Z,0,0,0,0,0,2469[CR],2189614484
Z,0,0,0,0,0,2470[CR],2189615031
Z,0,0,0,0,0,2470[CR],2189615468
Z,0,0,0,0,0,2469[CR],2189616015
Z,0,0,0,0,0,2470[CR],2189616562
Z,0,0,0,0,0,2469[CR],2189617000
Z,0,0,0,0,0,2469[CR],2189617546
Z,0,0,0,0,0,2470[CR],2189617984
Z,0,0,0,0,0,2469[CR],2189618531
Z,0,0,0,0,0,2469[CR],2189618968
Z,0,0,0,0,0,2470[CR],2189619515
Z,0,0,0,0,0,2469[CR],2189620062
Z,0,0,0,0,0,2470[CR],2189620500
Z,0,0,0,0,0,2470[CR],2189621046
Z,0,0,0,0,0,2469[CR],2189621484
Z,0,0,0,0,0,2469[CR],2189622031
Z,0,0,0,0,0,2469[CR],2189622468
