ID,UTM32-E,UTM32-N,NN2000-Z,DESCRIPTION
OYSC04,562488.534,7023020.979,2.684,Totalsondering
OYSC13,562485.377,7023014.882,2.615,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet glyserin. Metningsprosedyre: Optimal (100%).
OYSC17,562488.493,7023014.860,2.698,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Optimal (100%).
OYSC36,562486.949,7023014.910,2.687,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Større svikt (50-80%).
OYSC46,562484.040,7023016.421,2.678,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Optimal (100%).
OYSC49,562488.464,7023016.429,2.722,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet frostvæske. Metningsprosedyre: Optimal (100%).
OYSC53,562484.121,7023017.950,2.663,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Frostvæske. Metningsprosedyre: Dårlig (20-50%).
OYSC55,562485.508,7023019.414,2.658,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet frostvæske. Metningsprosedyre: Optimal (100%).
OYSC57,562489.985,7023017.973,2.690,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Glyserin. Metningsprosedyre: Liten svikt (95%).
OYSC58,562486.970,7023017.927,2.642,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Frostvæske. Metningsprosedyre: Dårlig (20-50%).
OYSC59,562489.918,7023016.442,2.696,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet glyserin. Metningsprosedyre: Optimal (100%).
OYSC66,562487.135,7023020.869,2.663,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet glyserin. Metningsprosedyre: Optimal (100%).
OYSC67,562486.949,7023016.415,2.643,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Dårlig (20-50%).
OYSC68,562484.304,7023019.456,2.660,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Dårlig (20-50%).
OYSC69,562490.009,7023019.426,2.718,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Frostvæske. Metningsprosedyre: Dårlig (20-50%).
OYSC70,562485.684,7023020.877,2.666,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Optimal (100%).
OYSC71,562489.982,7023020.900,2.712,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet vannblandet frostvæske. Metningsprosedyre: Liten svikt (95%).
OYSC72,562483.938,7023014.931,2.612,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Større svikt (50-80%).
OYSC74,562485.470,7023017.942,2.672,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Glyserin. Metningsprosedyre: Liten svikt (95%).
OYSC75,562489.931,7023014.896,2.686,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet vannblandet frostvæske. Metningsprosedyre: Liten svikt (95%).
OYSC77,562485.443,7023016.410,2.641,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Liten svikt (95%).
OYSC79,562486.963,7023019.374,2.670,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Liten svikt (95%).
OYSC81,562488.440,7023019.359,2.686,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Dårlig (20-50%).
OYSC86,562484.503,7023020.870,2.666,FB: 0-8m. CPTu: 8-20m. Porøst filter. Metningsmedium: Avluftet frostvæske. Metningsprosedyre: Optimal (100%).
OYSC91,562488.478,7023017.948,2.723,FB: 0-8m. CPTu: 8-20m. Spaltefilter. Metningsmedium: Silikonfett. Metningsprosedyre: Større svikt (50-80%).
