ID,UTM32-E,UTM32-N,NN2000-Z,DESCRIPTION
HALS01,595944.774,7039489.049,8.274,FB: 0-3m. CPTu: 3-20m. Rate: 20mm/s
HALS02,595944.442,7039495.200,8.270,FB: 0-3m. CPTu: 3-20m. Rate: 20mm/s
HALS03,595947.799,7039497.647,8.721,FB: 0-3m. CPTu: 3-20m. Rate: 20mm/s
HALS04,595949.979,7039492.138,8.511,FB: 0-3m. CPTu: 3-20m. Rate: 20mm/s
HALS05,595946.283,7039493.444,8.334,FB: 0-3m. CPTu: 3-20m. Rate: 20mm/s
HALS06,595944.098,7039491.752,8.235,FB: 0-3m. CPTu: 3-20m. Rate: 10mm/s
HALS07,595945.190,7039492.598,8.285,FB: 0-3m. CPTu: 3-20m. Rate: 40mm/s
HALS08,595947.298,7039490.531,8.328,FB: 0-3m. CPTu: 3-20m. Rate: 30mm/s
HALS09,595946.803,7039491.953,8.362,FB: 0-3m. CPTu: 3-20m. Rate: 15mm/s
HALS10,595945.910,7039494.554,8.347,FB: 0-3m. CPTu: 3-20m. Rate: 30mm/s
HALS11,595945.463,7039495.944,8.343,FB: 0-3m. CPTu: 3-20m. Rate: 15mm/s
HALS12,595947.500,7039494.386,8.389,FB: 0-3m. CPTu: 3-20m. Rate: 10mm/s
HALS13,595948.717,7039495.328,8.530,FB: 0-3m. CPTu: 3-20m. Rate: 40mm/s
